City_ID,City Name,Latitude,Longitude,Max Temp,Humidity,Clouds,Wind,Country,Date
0,ust-nera,64.5667,143.2,-11.18,84,90,2.47,RU,1729140531
1,adamstown,-25.066,-130.1015,21.32,85,100,8.33,PN,1729140480
2,albany,42.6001,-73.9662,3.23,62,3,1.72,US,1729140468
3,iqaluit,63.7506,-68.5145,-0.15,100,100,6.71,CA,1729140534
4,bilibino,68.0546,166.4372,-2.83,96,100,1.71,RU,1729140536
5,port mathurin,-19.6833,63.4167,23.21,79,89,5.51,MU,1729140537
6,mhamid,29.82,-5.72,22.43,49,99,2.46,MA,1729140538
7,nova sintra,14.8667,-24.7167,26.29,81,12,3.13,CV,1729140539
8,west island,-12.1568,96.8225,28.99,74,20,7.72,CC,1729140500
9,san patricio,28.017,-97.5169,19.97,55,9,5.03,US,1729140541
